"snail_ID","Axis1","Axis2","Axis3","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG157",4.42968962818277,-2.75467870994632,2.0029209358252,NA,"female",NA,NA,NA,"2"
"ANG158",8.25684043711358,-4.95056507677214,-2.41145875950109,"Crab","female",62.31478938,"Crab","C_F","2"
"ANG163",5.46308228403379,-7.03542768947209,3.60130932124415,"Crab","female",60.90736533,"Crab","C_F","2"
"ANG164",10.5254247177832,-15.2915922023083,0.198931329053645,"Crab","female",60.69137807,"Crab","C_F","2"
"ANG165",54.154061644023,11.222318375986,-0.702203190635785,NA,"female",NA,NA,NA,"3"
"ANG168",55.369942234053,13.931715045879,-0.37641554401571,"Crab","female",62.48543239,"Crab","C_F","3"
"ANG169",8.13466983325755,-6.58320312338903,3.47345137292454,"Crab","female",63.11653615,"Crab","C_F","2"
"ANG172",56.1263498299016,12.2816759824997,-0.805587975301033,"Crab","female",61.4558427,"Crab","C_F","3"
"ANG174",58.0327162012567,10.5016479842722,0.300268656699912,"Crab","female",60.39057284,"Crab","C_F","3"
"ANG175",9.38727805796973,-24.1587417727355,-2.35266188346479,"Crab","female",60.67726037,"Crab","C_F","2"
"ANG178",51.4946098266655,13.1792552801667,-0.531965481400663,"Crab","female",60.66315553,"Crab","C_F","3"
"ANG179",60.7383840313483,8.00229047561614,-0.630523590240115,"Crab","female",62.05165194,"Crab","C_F","3"
"ANG180",58.6487404147248,13.4220904833352,-0.279134598152998,"Crab","female",62.37827405,"Crab","C_F","3"
"ANG182",8.58646913748134,-9.77472105817093,-3.07850238749469,"Crab","female",59.84670372,"Crab","C_F","2"
"ANG186",8.63297014903582,-13.0099145877194,2.39344563699389,"Crab","female",59.60652288,"Crab","C_F","2"
"ANG187",8.61479186183496,-12.4454607122768,-6.45150967563198,"Crab","female",59.59895156,"Crab","C_F","2"
"ANG191",5.99278014739468,-19.1492481158472,7.86653475181109,"Crab","female",58.84295721,"Crab","C_F","2"
"ANG192",5.92236435560794,-3.77102596029322,-1.96573066633487,"Crab","female",58.94146739,"Crab","C_F","2"
"ANG193",4.98351639406682,-9.87410210800894,5.08777078999947,"Crab","female",57.03809614,"Crab","C_F","2"
"ANG195",5.68089570203337,15.6785930837205,-5.46014712627338,"Crab","female",58.43680446,"Crab","C_F","2"
"ANG197",56.5507435244538,12.7126548538992,0.490259330321998,"Crab","female",60.09727125,"Crab","C_F","3"
"ANG198",8.42423820403488,-6.72621065519484,3.80952689719491,"Crab","female",59.31937543,"Crab","C_F","2"
"ANG200",9.13733303269541,1.59659976729305,-0.394741312158835,"Crab","female",59.30779979,"Crab","C_F","2"
"ANG202",53.0752828700672,12.8766660756694,-1.24596903368181,"Crab","female",59.29739421,"Crab","C_F","3"
"ANG204",57.5801521959441,13.1334294223262,-0.893432663076756,"Crab","female",58.98421662,"Crab","C_F","3"
"ANG205",7.52743810562988,-5.64015846687847,5.85613314525236,"Crab","female",57.55545789,"Crab","C_F","2"
"ANG206",56.2190584008263,13.7209807429218,-0.963862359718788,"Crab","female",55.93309397,"Crab","C_F","3"
"ANG214",7.80475168417871,-13.0961580263996,-5.07559475294904,"Crab","female",54.69340067,"Crab","C_F","2"
"ANG218",52.8712547229853,12.675418115749,-1.38098087183848,"Crab","female",54.25447494,"Crab","C_F","3"
"ANG219",3.74484854120103,-4.22995263021377,5.16335060630718,"Crab","female",54.03392524,"Crab","C_F","2"
"ANG222",7.07815733719881,-11.8482822102243,-0.258507746523203,"Crab","female",52.98690139,"Crab","C_F","2"
"ANG224",8.75075440398003,-15.6059608589829,-3.36849064655613,"Crab","female",52.01161632,"Crab","C_F","2"
"ANG226",7.19056172948444,-6.74338498095942,-0.798575838981874,"Crab","female",50.32453881,"Crab","C_F","2"
"ANG227",8.26253103341858,-8.54607830398072,-4.76099639447365,"Crab","female",49.84610246,"Crab","C_F","2"
"ANG229",8.29560735972378,-9.38839123716212,-2.4598910199856,"Crab","female",51.28983725,"Crab","C_F","2"
"ANG233",7.30315771137903,-10.8855993578521,-3.8628220542943,"Crab","female",50.63714262,"Crab","C_F","2"
"ANG234",8.31025420628105,-14.3177998850522,-4.6847605315859,"Crab","female",49.20038033,"Crab","C_F","2"
"ANG236",6.93019915444482,-8.74598712765365,4.99525644677211,"Crab","female",49.83779156,"Crab","C_F","2"
"ANG238",7.26370595739775,-8.90688705371401,-9.75314765620175,"Crab","female",48.84735547,"Crab","C_F","2"
"ANG239",7.97880289618448,-5.6259810365027,3.66182589906908,"Crab","female",49.15983918,"Crab","C_F","2"
