"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG238",-18.2430616912183,-5.68103633621338,"Crab","female",48.84735547,"Crab","C_F","2"
"ANG239",-16.1046452521996,-5.62921150302507,"Crab","female",49.15983918,"Crab","C_F","2"
"ANG240",-12.4631305084114,-3.01970054213549,"Crab","female",46.94879549,"Crab","C_F","2"
"ANG241",-15.4755876704699,-1.5148836448506,"Crab","female",48.13024487,"Crab","C_F","2"
"ANG243",-19.1884961307436,-4.89164964944793,"Crab","female",47.38743443,"Crab","C_F","2"
"ANG244",-12.6389186280829,-1.89989044189395,"Crab","female",45.03195482,"Crab","C_F","2"
"ANG245",-18.8231956685165,-0.949255310540352,"Crab","female",45.61365816,"Crab","C_F","2"
"ANG247",-18.1801313861999,-3.09224585648693,"Crab","female",46.24462926,"Crab","C_F","2"
"ANG249",-13.0906546990756,0.45018692388024,"Crab","female",45.84052899,"Crab","C_F","2"
"ANG251",-17.9458385478992,-3.39724373549054,"Crab","female",8.989725294,"Crab","C_F","2"
"ANG254",-15.117242052629,-0.699449171470633,"Crab","female",8.520774006,"Crab","C_F","2"
"ANG255",-14.2620445381344,-3.67252212227984,"Crab","female",5.492682088,"Crab","C_F","2"
"ANG256",-14.6995009435604,-3.49415492680473,"Crab","female",6.473349333,"Crab","C_F","2"
"ANG259",-16.6387285826886,-3.50098068426118,"Crab","female",4.916443827,"Crab","C_F","2"
"ANG260",-10.176566276966,-1.93593339641765,"Crab","female",4.707269737,"Crab","C_F","2"
"ANG261",-16.8382280707279,1.69225502942092,"Crab","female",3.935771682,"Crab","C_F","2"
"ANG262",-14.1829722788446,-0.117671671259743,"Crab","female",4.384085574,"Crab","C_F","2"
"ANG263",-13.8750138246385,-2.6295142485188,"Crab","female",6.094104292,"Crab","C_F","2"
"ANG264",-21.6411877785373,-3.87959233476416,"Crab","female",2.953925008,"Crab","C_F","2"
"ANG266",-14.9443424184942,0.418383988778372,"Crab","female",1.119892852,"Crab","C_F","2"
"ANG268",-15.3382347970076,1.6261481450165,"Crab","female",1.269946419,"Crab","C_F","2"
"ANG269",-18.0009697905167,-4.09327474580199,"Crab","female",2.71424457,"Crab","C_F","2"
