"snail_ID","sex_dissection","DistAlongPath","ecotype"
"ANG249","female",45.84052899,"Crab"
"ANG251","female",8.989725294,"Crab"
"ANG254","female",8.520774006,"Crab"
"ANG255","female",5.492682088,"Crab"
"ANG256","female",6.473349333,"Crab"
"ANG259","female",4.916443827,"Crab"
"ANG260","female",4.707269737,"Crab"
"ANG261","female",3.935771682,"Crab"
"ANG262","female",4.384085574,"Crab"
"ANG263","female",6.094104292,"Crab"
"ANG264","female",2.953925008,"Crab"
"ANG266","female",1.119892852,"Crab"
"ANG268","female",1.269946419,"Crab"
"ANG269","female",2.71424457,"Crab"
"ANG270","female",1.731621236,"Crab"
"ANG275","female",64.67001437,"Crab"
"ANG277","female",67.53362738,"Crab"
"ANG370","female",88.79848477,"Wave"
"ANG401","female",89.55268749,"Wave"
"ANG402","female",92.99801398,"Wave"
"ANG405","female",93.04805814,"Wave"
"ANG407","female",93.2309945,"Wave"
"ANG411","female",93.64595802,"Wave"
"ANG414","female",93.64833879,"Wave"
"ANG415","female",93.64909907,"Wave"
"ANG417","female",93.78258663,"Wave"
"ANG419","female",93.7706404,"Wave"
"ANG420","female",93.77136706,"Wave"
"ANG423","female",93.99788475,"Wave"
"ANG424","female",94.18658198,"Wave"
"ANG425","female",94.16964032,"Wave"
"ANG426","female",94.22514393,"Wave"
"ANG427","female",94.20046011,"Wave"
"ANG428","female",94.22802834,"Wave"
"ANG429","female",94.22730712,"Wave"
"ANG430","female",94.25076558,"Wave"
"ANG438","female",95.64686105,"Wave"
"ANG439","female",95.49753769,"Wave"
"ANG444","female",95.96445547,"Wave"
"ANG446","female",95.48317594,"Wave"
"ANG450","female",98.24974206,"Wave"
"ANG451","female",97.4508479,"Wave"
"ANG453","female",97.57067061,"Wave"
"ANG454","female",98.35402621,"Wave"
"ANG455","female",98.28560465,"Wave"
"ANG457","female",98.4792869,"Wave"
"ANG459","female",98.36759106,"Wave"
"ANG460","female",98.47196726,"Wave"
"ANG462","female",98.08278714,"Wave"
"ANG463","female",98.39225556,"Wave"
"ANG467","female",101.4965678,"Wave"
"ANG468","female",101.4461146,"Wave"
"ANG469","female",101.3177302,"Wave"
"ANG470","female",101.7983039,"Wave"
"ANG472","female",103.4158757,"Wave"
"ANG475","female",103.1111129,"Wave"
"ANG476","female",103.6474649,"Wave"
"ANG477","female",103.7761803,"Wave"
"ANG478","female",103.6111225,"Wave"
"ANG479","female",103.6081257,"Wave"
"ANG480","female",103.6119893,"Wave"
"ANG481","female",103.9612761,"Wave"
"ANG482","female",104.2101101,"Wave"
"ANG483","female",104.5182905,"Wave"
"ANG484","female",104.5188214,"Wave"
"ANG487","female",104.7049002,"Wave"
"ANG488","female",104.9474177,"Wave"
"ANG489","female",105.23189,"Wave"
"ANG491","female",105.1083072,"Wave"
"ANG492","female",105.5264003,"Wave"
"ANG493","female",106.0313431,"Wave"
"ANG494","female",106.129697,"Wave"
"ANG496","female",106.3636994,"Wave"
"ANG498","female",106.8095752,"Wave"
"ANG499","female",106.8666143,"Wave"
"ANG500","female",107.149405,"Wave"
"ANG502","female",107.3175994,"Wave"
"ANG504","female",107.4436216,"Wave"
"ANG506","female",107.5724329,"Wave"
"ANG508","female",107.4006387,"Wave"
